id_tran,mes,prima,cliente,productos,red
1,7,307.61,Q2532933QA,145A,Canalonline
2,10,136.39,G4449977PG,145A,Canalonline
3,3,138.61,C1655430RR,145A,Canalonline
4,8,230.96,L2062940AF,145A,Canalonline
5,6,195.6,C3060656SU,145A,Canalonline
6,5,202.7,L4744942BS,145A,Canalonline
7,10,228.26,L3939822BP,145A,Canalonline
8,8,167.04,N4148350RU,145A,Canalonline
9,12,226.29,Y1643287YC,145A,Canalonline
10,9,215.69,T4336521NZ,145A,Canalonline
11,10,236.55,I1879557TE,145A,Canalonline
12,11,119.78,S1974418NN,145A,Canalonline
13,9,133.46,C1983575GB,145A,Canalonline
14,2,285.18,C2952363KT,145A,Canalonline
15,6,250.7,V4013328FR,145A,Canalonline
16,5,211.28,Z4780810MZ,145A,Canalonline
17,5,200.64,W4123273CH,145A,Canalonline
18,6,189.34,N2848976GQ,145A,Canalonline
19,8,346.58,W4132898AC,145A,Canalonline
20,9,198.12,X4744230EC,145A,Canalonline
21,4,162.86,R2283819KE,145A,Canalonline
22,11,669.61,E2061948VL,145A,Canalonline
23,12,233.92,P4211077AJ,145A,Canalonline
24,4,160.3,P3966413ZT,145A,Canalonline
25,3,247.45,X4003962HH,145A,Canalonline
26,10,209.51,E2123054BL,145A,Canalonline
27,9,166.93,T1704374TU,145A,Canalonline
28,6,176.06,A3112349XJ,145A,Canalonline
29,9,262.01,Z3382688UP,145A,Canalonline
30,5,139.14,V3427980TT,145A,Canalonline
31,11,336.51,X1941699KW,145A,Canalonline
32,10,339.66,F3127855YM,145A,Canalonline
33,10,204.27,M3134865ZD,145A,Canalonline
34,7,185.73,G3817704XJ,145A,Canalonline
35,12,188.96,P2846667LZ,145A,Canalonline
36,1,157.32,W4183286LC,145A,Canalonline
37,11,211.41,N1563839GA,145A,Canalonline
38,11,339.56,S2966769AP,145A,Canalonline
39,10,197.2,C1997148MA,145A,Canalonline
40,7,216.18,R1744895PX,145A,Canalonline
41,4,158.2,X3173272CN,145A,Canalonline
42,10,196.9,K4042648OM,145A,Canalonline
43,4,122.66,J3205235DG,145A,Canalonline
44,3,325.69,K4495437YD,145A,Canalonline
45,8,271.54,V4829553DC,145A,Canalonline
46,12,215.11,Z2477969HS,145A,Canalonline
47,5,221.38,Y3615398ZD,145A,Canalonline
48,11,215.65,Q3411153EL,145A,Canalonline
49,11,191.71,I2331196KG,145A,Canalonline
50,6,178.75,J1779947UX,145A,Canalonline
51,11,137.53,F4095781BZ,145A,Canalonline
52,3,203.24,J2966822NV,145A,Canalonline
53,5,124.68,E3162877QD,145A,Canalonline
54,12,219.57,F4555716MC,145A,Canalonline
55,10,189.04,Z4115368QZ,145A,Canalonline
56,11,237.13,N4447781QT,145A,Canalonline
57,10,199.3,T3536679PD,145A,Canalonline
58,7,190.49,Q1667827YN,145A,Canalonline
59,6,222.83,O4652270LJ,145A,Canalonline
60,12,122.03,W2536685WO,145A,Canalonline
61,3,167.5,J3687327YX,145A,Canalonline
62,1,172.09,R2730526HT,145A,Canalonline
63,11,229.1,G3018079NQ,145A,Canalonline
64,9,130.85,D4780260TP,145A,Canalonline
65,2,374.39,L2241702KB,145A,Canalonline
66,3,197.92,K2035474EG,145A,Canalonline
67,9,167.95,E1658245MJ,145A,Canalonline
68,10,111.78,N3460912ZY,145A,Canalonline
69,12,236.44,B3427973BI,145A,Canalonline
70,1,222.77,V2449156XY,145A,Canalonline
71,5,124.15,H4455114UU,145A,Canalonline
72,3,130.6,S1775637LV,145A,Canalonline
73,2,230.03,J1754851LD,145A,Canalonline
74,5,181.94,N4730652HV,145A,Canalonline
75,11,241.72,T4524449LF,145A,Canalonline
76,11,148.2,P2409950MM,145A,Canalonline
